lambda_air(A),lambda_vac(A),FWHM(A),Flux(10^-16^erg/s/cm2/{AA})
3627.8064,3628.841,0.1052,0.4516
3629.011,3630.046,0.0782,0.4291
3629.8596,3630.894,0.1679,0.4217
3632.0857,3633.121,0.0973,0.4814
3632.3052,3633.341,0.0765,0.4401
3633.3684,3634.404,0.0682,0.4058
3633.9368,3634.973,0.0992,0.4379
3634.4705,3635.506,0.0926,0.4184
3635.5181,3636.554,0.1003,0.4742
3636.0593,3637.096,0.0837,0.5928
3637.0107,3638.047,0.0935,0.2889
3638.1738,3639.211,0.112,0.3346
3638.4165,3639.454,0.0645,0.2559
3638.7017,3639.739,0.0929,0.5193
3639.7197,3640.757,0.0738,0.3056
3640.5081,3641.546,0.0754,0.3043
3641.271,3642.309,0.1048,0.309
3641.532,3642.57,0.0867,0.4023
3641.8528,3642.891,0.087,0.3496
3642.5894,3643.627,0.0758,0.3779
3643.2754,3644.314,0.119,0.3506
3645.4976,3646.536,0.0688,0.2627
3645.6328,3646.672,0.092,0.3234
3649.0522,3650.092,0.0629,0.3104
3649.334,3650.374,0.0756,0.2738
3649.6709,3650.711,0.0646,0.2875
3664.7971,3665.841,0.099,0.263
3668.0999,3669.145,0.0701,0.2368
3669.8137,3670.859,0.0939,0.3233
3673.4053,3674.451,0.0664,0.2714
3676.0754,3677.122,0.1276,0.2555
3697.8506,3698.903,0.0731,0.3367
3698.1045,3699.157,0.0722,0.4139
3698.4983,3699.551,0.1235,0.3661
3699.0808,3700.133,0.058,0.361
3699.6147,3700.668,0.14,0.2569
3699.8123,3700.865,0.0835,0.328
3700.4097,3701.463,0.1004,0.2977
3700.6895,3701.743,0.0833,0.3361
3701.3677,3702.421,0.0832,0.3587
3701.7278,3702.781,0.1019,0.3605
3702.458,3703.512,0.0777,0.3668
3702.9326,3703.986,0.0701,0.3059
3703.7253,3704.779,0.0983,0.3384
3704.2844,3705.338,0.1217,0.2902
3705.1528,3706.207,0.0871,0.3685
3705.8101,3706.865,0.0556,0.2612
3706.7273,3707.782,0.087,0.351
3707.4951,3708.55,0.0992,0.2616
3708.4702,3709.525,0.0945,0.3449
3709.3374,3710.393,0.0783,0.2477
3710.3804,3711.436,0.071,0.3882
3711.1672,3712.223,0.0807,0.2051
3711.3474,3712.403,0.0822,0.2103
3714.6794,3715.736,0.1021,0.3156
3717.0417,3718.099,0.0832,0.2776
3719.6013,3720.659,0.0659,0.2612
3722.3274,3723.386,0.0893,0.3423
3728.2622,3729.322,0.1088,0.2868
3731.3594,3732.42,0.1061,0.2952
3731.6438,3732.705,0.0977,0.3017
3733.1506,3734.212,0.0764,0.3855
3733.5808,3734.642,0.0758,0.338
3734.0183,3735.08,0.1024,0.2518
3734.2122,3735.274,0.2313,0.2496
3734.5364,3735.598,0.1122,0.3314
3734.8113,3735.873,0.0921,0.3705
3735.0513,3736.113,0.0735,0.2415
3735.7109,3736.773,0.0726,0.2613
3736.3674,3737.43,0.0637,0.3602
3736.9844,3738.047,0.1557,0.3439
3737.6233,3738.686,0.1016,0.2691
3737.8049,3738.868,0.1441,0.2543
3738.0879,3739.151,0.0856,0.2728
3738.5237,3739.587,0.1538,0.3374
3738.8252,3739.888,0.1036,0.215
3739.0984,3740.161,0.1942,0.3824
3739.3103,3740.373,0.1177,0.3926
3739.6133,3740.676,0.1874,0.4298
3739.7771,3740.84,0.0863,0.3508
3739.8865,3740.95,0.0484,0.189
3741.0708,3742.134,0.1128,0.4576
3741.6289,3742.693,0.0754,0.5167
3743.5273,3744.592,0.1785,0.353
3743.7969,3744.861,0.1076,0.2802
3744.0588,3745.123,0.1126,0.5272
3746.501,3747.566,0.1255,0.4925
3746.7795,3747.845,0.0883,0.3104
3747.0688,3748.134,0.0747,0.5188
3750.3472,3751.413,0.1356,0.2891
3750.6619,3751.728,0.0683,0.3598
3754.1956,3755.263,0.0725,0.3199
3754.4954,3755.562,0.0806,0.2555
3754.8347,3755.902,0.1005,0.4822
3757.7944,3758.862,0.0827,0.1921
3758.2217,3759.29,0.0935,0.1663
3758.9431,3760.011,0.0899,0.2997
3759.0933,3760.162,0.0497,0.1702
3759.2332,3760.301,0.0916,0.2178
3759.5779,3760.646,0.0825,0.2383
3747.0691,3748.134,0.1069,0.2447
3750.0967,3751.163,0.0885,0.1707
3750.3438,3751.41,0.0873,0.133
3750.6519,3751.718,0.1617,0.1968
3754.2141,3755.281,0.0356,0.3466
3754.8308,3755.898,0.1038,0.3831
3758.2297,3759.298,0.0926,0.1863
3758.9431,3760.011,0.0789,0.2666
3759.5818,3760.65,0.0886,0.212
3764.2703,3765.34,0.1668,0.2585
3764.9436,3766.013,0.0908,0.1587
3765.9292,3766.999,0.0887,0.1783
3770.2012,3771.272,0.0982,0.1627
3770.396,3771.467,0.0687,0.1285
3770.5605,3771.632,0.1,0.096
3772.3159,3773.388,0.0701,0.2273
3772.9663,3774.038,0.0755,0.285
3773.4285,3774.5,0.1203,0.2996
3774.9397,3776.012,0.3464,0.3147
3775.2329,3776.305,0.1444,0.2836
3775.4824,3776.555,0.0734,0.2848
3777.6162,3778.689,0.1037,0.3392
3778.188,3779.261,0.1069,0.3141
3780.9341,3782.008,0.0703,0.3002
3781.2139,3782.288,0.1353,0.2304
3781.5039,3782.578,0.1157,0.264
3784.8796,3785.955,0.3029,0.3039
3785.4634,3786.538,0.0695,0.237
3790.072,3791.148,0.116,0.2283
3791.2578,3792.334,0.074,0.2554
3791.9639,3793.041,0.1847,0.2219
3792.5469,3793.624,0.0425,0.1782
3792.8516,3793.929,0.0865,0.2163
3794.7515,3795.829,0.0834,0.2728
3795.082,3796.16,0.1429,0.2225
3795.3748,3796.452,0.1419,0.1847
3796.4329,3797.511,0.1008,0.242
3797.3406,3798.419,0.0297,0.1127
3797.4739,3798.552,0.0761,0.1884
3797.948,3799.026,0.0858,0.1263
3799.0879,3800.167,0.1034,0.1237
3799.6438,3800.723,0.0734,0.1779
3800.8188,3801.898,0.0902,0.2175
3801.4971,3802.576,0.0685,0.2465
3809.4824,3810.564,0.1059,0.2068
3812.6921,3813.774,0.0836,0.2788
3813.4255,3814.508,0.0973,0.3296
3814.0615,3815.144,0.1163,0.2642
3814.8359,3815.919,0.1609,0.3682
3815.4399,3816.523,0.1007,0.2476
3815.8096,3816.893,0.3145,0.2371
3816.4583,3817.541,0.0802,0.2057
3816.9585,3818.042,0.2056,0.2937
3817.7595,3818.843,0.0215,0.1941
3818.2493,3819.333,0.0699,0.2862
3819.0027,3820.086,0.076,0.3734
3819.6873,3820.771,0.1473,0.2225
3820.5134,3821.598,0.0699,0.6196
3820.8027,3821.887,0.1221,0.2029
3821.3699,3822.454,0.0858,0.3024
3821.6624,3822.747,0.0669,0.161
3822.0603,3823.145,0.0819,0.1989
3822.24,3823.325,0.0869,0.3384
3822.5674,3823.652,0.1936,0.1411
3823.2153,3824.3,0.1033,0.2815
3824.1191,3825.204,0.071,0.3747
3824.2793,3825.364,0.0648,0.1687
3825.2012,3826.287,0.0927,0.2437
3826.1819,3827.268,0.1119,0.2956
3826.637,3827.723,0.0632,0.1993
3827.0354,3828.121,0.1256,0.1706
3827.3862,3828.472,0.1209,0.1726
3828.4089,3829.495,0.0748,0.324
3828.5676,3829.654,0.0583,0.3008
3829.1289,3830.215,0.0825,0.2693
3829.5503,3830.637,0.0707,0.3602
3830.1438,3831.23,0.0715,0.1949
3830.3196,3831.406,0.1021,0.301
3830.6306,3831.717,0.1003,0.4063
3830.8303,3831.917,0.0953,0.6009
3830.981,3832.068,0.1343,0.1787
3831.2466,3832.334,0.164,0.1695
3832.103,3833.19,0.1582,0.3707
3832.4348,3833.522,0.084,0.251
3832.6917,3833.779,0.1006,0.4406
3832.9136,3834.001,0.1729,0.2581
3833.3828,3834.47,0.0806,0.2035
3833.5439,3834.631,0.0954,0.2332
3834.5349,3835.623,0.0957,0.5418
3835.1045,3836.192,0.0995,0.3202
3837.511,3838.6,0.1465,0.4411
3837.8091,3838.898,0.1715,0.2657
3838.1135,3839.202,0.1058,0.382
3839.084,3840.173,0.0892,0.2525
3841.3704,3842.46,0.0722,0.3449
3841.698,3842.788,0.0901,0.4507
3842.1606,3843.25,0.095,0.2626
3845.1995,3846.29,0.0633,0.3142
3845.3442,3846.435,0.0509,0.2948
3845.5046,3846.595,0.0971,0.3044
3845.8962,3846.987,0.1918,0.3707
3847.1987,3848.29,0.1134,0.2018
3847.5149,3848.606,0.1547,0.2902
3848.1729,3849.264,0.0874,0.2422
3848.9294,3850.021,0.1305,0.1409
3849.9272,3851.019,0.0779,0.2404
3850.1099,3851.202,0.0486,0.253
3850.2642,3851.356,0.0975,0.2505
3850.6091,3851.701,0.1236,0.2801
3850.8804,3851.972,0.094,0.1945
3852.554,3853.647,0.0018,0.1394
3854.1501,3855.243,0.0522,0.1688
3855.25,3856.343,0.1132,0.2513
3855.9541,3857.048,0.1106,0.2546
3864.6057,3865.701,0.0946,0.2152
3865.189,3866.285,0.111,0.138
3875.6069,3876.705,0.125,0.205
3882.9121,3884.013,0.1046,0.1838
