lambda_air(A)  lambda_vac(A)  FWHM(A)  Flux(10^-16^erg/s/cm2/{AA})
  9031.7500    9034.2290  0.2250    0.2032
  9038.0586    9040.5400  0.3675    3.5968
  9043.6084    9046.0910  0.2656    0.2746
  9049.2539    9051.7380  0.2232    5.8107
  9049.8652    9052.3490  0.2175    5.6008
  9050.7725    9053.2570  0.1484    0.1492
  9052.2432    9054.7280  0.2361    0.1394
  9053.9561    9056.4410  0.2061    0.1372
  9055.7031    9058.1890  0.2301    0.1243
  9056.6172    9059.1030  0.3333    0.1530
  9056.9688    9059.4550  0.1746    0.2206
  9059.4648    9061.9520  0.1968    0.1136
  9061.0791    9063.5660  0.1832    0.1017
  9064.2500    9066.7380  0.2202    0.4834
  9065.6543    9068.1430  0.2309    0.3791
  9068.5586    9071.0480  0.2357    0.6474
  9070.6602    9073.1500  0.2228    0.4858
  9074.5439    9077.0350  0.1730    0.1060
  9076.2646    9078.7560  0.2444    0.1322
  9079.5391    9082.0310  0.2355    0.1367
  9081.2021    9083.6950  0.1901    0.1416
  9082.7969    9085.2900  0.2136    0.1153
  9083.6006    9086.0940  0.2158    0.1216
  9090.3467    9092.8420  0.2344    0.1457
  9091.1816    9093.6770  0.1669    0.0998
  9091.9980    9094.4940  0.2307    0.1556
  9092.4209    9094.9170  0.2367    1.5502
  9092.7285    9095.2240  0.2518    1.5785
  9093.6650    9096.1610  0.2428    0.4061
  9096.1523    9098.6490  0.2086    0.1408
  9097.3467    9099.8440  0.1590    0.0831
  9097.7852    9100.2820  0.2368    0.1515
  9098.8906    9101.3880  0.2158    0.1082
  9099.3320    9101.8300  0.2247    0.1156
  9102.4053    9104.9040  0.2171    2.8839
  9103.1807    9105.6790  0.2253    2.6350
  9103.8574    9106.3560  0.2957    0.1249
  9108.6826    9111.1830  0.1821    0.0955
  9110.2441    9112.7450  0.1475    0.1157
  9133.9648    9136.4720  0.2587    0.2417
  9136.3682    9138.8760  0.2230    0.2221
  9139.9131    9142.4220  0.2115    0.1660
  9144.0049    9146.5150  0.1993    0.0987
  9147.2451    9149.7560  0.7100    0.1038
  9151.4199    9153.9320  0.3519    0.2878
  9151.7930    9154.3050  0.2170    1.1660
  9152.2568    9154.7690  0.2182    1.0332
  9152.9746    9155.4870  0.2149    0.4334
  9154.5908    9157.1030  0.2217    0.3345
  9156.9746    9159.4880  0.2225    0.5457
  9159.3496    9161.8630  0.2130    0.4246
  9160.6992    9163.2130  0.2154    1.6739
  9161.6543    9164.1690  0.2190    1.5777
  9174.5605    9177.0780  0.1383    0.1250
  9175.8809    9178.3990  0.2005    0.1240
  9200.0742    9202.5990  0.1951    0.1276
  9205.1201    9207.6460  0.2200    0.1271
  9208.8389    9211.3660  0.2594    0.1328
  9210.5332    9213.0610  0.2588    0.1245
  9214.5283    9217.0570  0.2925    0.1256
  9216.2725    9218.8020  0.2293    1.0584
  9216.8770    9219.4060  0.2357    0.8125
  9224.2949    9226.8260  0.2393    1.5935
  9225.4199    9227.9520  0.2307    1.2010
  9226.9385    9229.4710  0.3069    0.2323
  9228.5430    9231.0760  0.1601    0.1408
  9229.2285    9231.7610  0.2683    0.1408
  9229.4727    9232.0060  0.2466    0.1440
  9233.5342    9236.0680  0.2805    0.1331
  9233.9463    9236.4800  0.3271    0.1171
  9247.5361    9250.0740  0.2219    0.4157
  9248.3369    9250.8750  0.2228    0.1815
  9249.3760    9251.9140  0.2304    0.2919
  9250.6221    9253.1610  0.2489    0.2056
  9251.2715    9253.8100  0.2145    0.5588
  9253.9248    9256.4640  0.2190    0.3296
  9254.5420    9257.0820  0.2037    0.1411
  9260.8750    9263.4160  0.3272    0.1885
  9262.5908    9265.1330  0.2851    0.5566
  9265.9932    9268.5360  0.2791    0.2874
  9286.0557    9288.6040  0.2173    0.9640
  9286.8193    9289.3680  0.2267    0.7013
  9288.6191    9291.1680  0.2130    0.4738
  9293.2783    9295.8280  0.2196    1.1641
  9294.6387    9297.1890  0.2193    1.0011
  9306.0107    9308.5640  0.2268   11.6258
  9307.3848    9309.9390  0.2291   21.5181
  9309.0615    9311.6160  0.2719    5.3789
